id,title,handle,body_html,published_at,created_at,updated_at,vendor,product_type,tags
8715262427304,Rave Coffee Advent Calendar - SALE,rave-coffee-advent-calendar-copy,"The World’s Best Coffee Chocolate Advent Calendar is back…🎄☕️🍫Treat yourself to this limited-edition collection of coffee-infused chocolates; handcrafted by the geniuses at Cocochemistry. It’s the ultimate way to count down to Christmas.We’ve only made 1000 of these bad boys, so grab yours faster than you can down a double espresso!With six knockout flavours, this is how coffee lovers do Christmas.🔥Milk chocolate coffee caramel cloaked in cocoa powder.🔥Dark chocolate coffee caramel rolled in chocolate flakes.🔥A radiant blonde chocolate with a velvety coffee caramel centre.🔥Milk chocolate coffee caramel in a blanket of Biscoff crumb.🔥Dark Chocolate coffee caramel with white chocolate.🔥And, last but not least, a Solid Blonde Chocolate and coffee combo that’s out of this world.🙌Allergy Advice:Contains Milk, Wheat Flour, Soya Flour, Soya.May contain tree nuts, peanuts, egg.Item Weight: 250g",2024-11-22T12:26:01+00:00,2024-11-22T11:04:06+00:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Merchandise,"blonde chocolate, Chocolate, Chocolate & Caramel, christmas, coffee chocolate, dark chocolate, gift, Merchandise, milk chocolate, new arrivals"
8705352663208,Kenya Gatina AA Nº 275,kenya-gatina-aa-no-275,"This is coffee is purchased through the Mugaga Farmer’s Cooperative Society. Their main mission is to remove barriers into the speciality sector for farmers, and widening participation for historically marginalised groups - namely women and younger people.The coffee is roasted to a medium level to highlight the abundance of natural sugars found within the coffee. The result is a super sweet, bright cup of coffee that delivers distinct flavour notes of rhubarb, citrus and black fruits.",2024-11-20T12:15:03+00:00,2024-11-14T09:56:35+00:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Single Origin,"Africa, cafetiere, citrus, Citrus & Floral, Espresso, Filter, Floral, Fruity, info delivery, info dispatch, info packaging, info roast, Medium, new arrivals, Roast 3, Single Origin, sticker-New Release, swatch_kenya, Taste Marmalade Rhubarb Cola, washed"
8701649584296,Christmas Blend Compostable Coffee Bags Nº 22,n-22-christmas-blend-compostable-coffee-bags,"Could this be the most convenient and best cup of specialty coffee you have ever had? Our Christmas Blend compostable coffee bags make drinking Rave coffee simple. They work just like a tea bag so no fancy brew equipment is needed - simply add boiling water & wait 3 minutes.No gear, no mess - just great coffee, made simple.1 x Pack = 10 coffee bags individually wrapped to keep the freshness in.Each single serve coffee sachets has printed instructions for use.",2024-11-12T08:33:27+00:00,2024-11-11T12:44:59+00:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Coffee Bags,"Chocolate, Chocolate & Caramel, Dark, Fruity, Nuts & Spice, Roast 5, Taste Fruitcake Hazelnut Molasses"
8689153540264,AeroPress Go Gift Set,aeropress-go-gift-set,"The AeroPress Go travel coffee maker gives coffee lovers everything they need to conveniently brew superb coffee anywhere. Like the AeroPress Original, the AeroPress Go provides the same great taste and brews American, espresso, and cold brew style coffee.Compact design, with mug included: Includes microwaveable mug and lid that doubles as a travelling case so you can brew coffee anywhere. Quick to clean and pack up.Brews one to three delicious cups with one press. AeroPress Go can also make cold brew coffee as well as espresso-style coffee for lattes, cappuccinos, and more.What’s Included:* 1 xAeroPress Go (Chamber & Plunger), Mug with Lid, 100 replacement AeroPress micro-filters, Filter holder, Stirrer, Scoop.* 1 x 250g Fresh Roasted Coffee (Select Whole Bean or Ground)* 1 x Rave Brew Guide Light* Packaged in a Gift BoxPhthalate free and BPA free.",2024-11-04T15:34:24+00:00,2024-10-31T11:17:08+00:00,2024-12-11T13:51:02+00:00,Aeropress,gift box,"Cafe Retail, christmas gift collection, info delivery, info dispatch, info packaging, info roast"
8689143972008,AeroPress Go,aeropress-go,"The AeroPress Go travel coffee maker gives coffee lovers everything they need to conveniently brew superb coffee anywhere. Like the AeroPress Original, the AeroPress Go provides the same great taste and brews americano, espresso, and cold brew style coffee.Compact design, with mug included: Includes microwaveable mug and lid that doubles as a travelling case so you can brew coffee anywhere. Quick to clean and pack up.Brews one to three delicious cups with one press. AeroPress Go can also make cold brew coffee as well as espresso-style coffee for lattes, cappuccinos, and more.What’s Included: AeroPress Go (Chamber & Plunger), Mug with Lid, 100 replacement AeroPress micro-filters, Filter holder, Stirrer, Scoop.Phthalate free and BPA free.",2024-11-04T15:29:16+00:00,2024-10-31T11:09:37+00:00,2024-12-11T13:51:02+00:00,Aeropress,Aeropress,"Aeropress, Cafe Retail, info delivery, info dispatch, info packaging, info roast"
6010421641384,AeroPress Gift Set with Grinder,aeropress-gift-set-with-grinder,"Inside this coffee lover’s gift box you’ll find all you need to make the make the perfect, freshly ground,delicious cup of coffee.This AeroPress coffee maker is so easy to use it will be your go-to portable coffee gadget and become your new travel companion. This set also includes the TIMEMORE manual grinder.Gift box contains1 x RAVE Coffee 250g of Fresh Roasted CoffeeAeroPressCoffee Maker (Includes: AeroPress, scoop, stirrer, 100 microfilters papers)1 x TIMEMORE - manual grinder C2 Fold in white1 x Rave Brew Guide LightIf buying as a gift, we recommend buying as close to the gifting date as possible to have the freshest coffee!",2024-11-04T15:03:35+00:00,2020-11-03T11:00:03+00:00,2024-12-11T13:51:02+00:00,Aeropress,gift box,"christmas gift collection, info delivery, info dispatch, info packaging, info roast"
8686839759016,Black Airscape Storage Container with Christmas Blend,black-airscape-storage-container-with-christmas-blend,"Airscape® technology features a patented plunger lid designed to fit snugly against the inside of the canister. As the Airscape® lid is pressed down, the oxygen is forced out through a two-way valve. Once the plunger is directly above the contents, flip the handle down to prevent further oxygen exchange & dramatically increase the shelf life of your coffee.Small holds 250g Coffee | Height 10.5cm x Diameter 13cmMedium holds 500g Coffee| Height 18cm x Diameter 13cmLarge holds 1kg Coffee | Height 20cm x Diameter 18cm",2024-10-31T11:04:43+00:00,2024-10-29T14:06:03+00:00,2024-12-11T13:51:02+00:00,RAVE Coffee,,
8686833270952,White Airscape Storage Container with Christmas Blend,white-airscape-storage-container-with-christmas-blend,"Airscape® technology features a patented plunger lid designed to fit snugly against the inside of the canister. As the Airscape® lid is pressed down, the oxygen is forced out through a two-way valve. Once the plunger is directly above the contents, flip the handle down to prevent further oxygen exchange & dramatically increase the shelf life of your coffee.Small holds 250g Coffee | Height 10.5cm x Diameter 13cmMedium holds 500g Coffee| Height 18cm x Diameter 13cmLarge holds 1kg Coffee | Height 20cm x Diameter 18cm",2024-10-31T10:59:57+00:00,2024-10-29T13:52:15+00:00,2024-12-11T13:51:02+00:00,RAVE Coffee,,christmas gift collection
1903198011446,Aeropress Traveller Gift Set,aeropress-traveller-gift-set,"Inside this coffee lover’s gift box you’ll find all you need to make the make the perfect cup of delicious coffee.TheAeropressallows you to make and enjoy a beautiful coffee quickly and easily. Whether it’s at home, in the office or travelling, that fresh cup of coffee is quick and easy to make without the mess.The unique brewing style allows you to extract the coffee maximising depth and flavour. The clean up is even easier, just remove the cap and pop the used coffee puck into the bin. Rinse the Aeropress under the tap, or pop in the dishwasher and you're done!Gift box contains1 x Aerobie Aeropress Original (Includes 100 Filter papers)1 x 8oz Glass KeepCup (cork band)1 x 250g Fresh Roasted Signature Blend (Select Whole Bean or Ground)1 x RAVE Brew Guide LitePackaged in a Gift BoxIf buying as a gift, we recommend buying as close to the gifting date as possible to have the freshest coffee!",2024-10-29T14:13:10+00:00,2018-11-15T17:43:44+00:00,2024-12-11T13:51:02+00:00,Aeropress,gift box,"christmas gift collection, info delivery, info dispatch, info packaging, info roast"
8670951932072,Christmas Blend Pods Nº 22,n-22-christmas-blend-pods,"In the cup:Fruitcake, Hazelnut & MolassesIntensity: 51 x Pack = 10 Coffee CapsulesRAVE pods are designed to produce a 25ml (short) - 35ml (long) espresso shot.Please note that most pod machines are pre-programmed for Nespresso®® pods that produce anything from 40ml (short) -110ml (long) therefore it's important you refer to your machine user manual to adjust the settings - to avoid disappointment with the output.Our pods are compatible with all domestic drop through Nespresso®® machines(excluding professional, in built models and the Vertuo machines)Place Pods & Lids in your authorised food waste collection scheme for industrial composting.",2024-10-23T06:30:01+01:00,2024-10-15T14:48:44+01:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Pods,"Cafe Retail, Chocolate & Caramel, christmas gift collection, Citrus Fruit, Dark, Nuts, Nuts & Spice, pods, Roast 5, South America, sticker-New Release, Taste Fruitcake Hazelnut Molasses"
8669309206696,Colombia Terra Community Gesha Nº 266,colombia-terra-community-gesha-n-266,"The gesha varietal is famed for its unique florality, complex fruit sweetness and distinct aromatics. It is difficult to grow, but the results are more than worth while - hence the hefty price tag!This lot comes from a smallholder group in Huila, Southern Colombia. The coffee cherries are picked in the cool temperatures of early morning, washed and fermented for 24 hours before sun drying.",2024-10-17T06:00:06+01:00,2024-10-14T13:25:15+01:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Single Origin,"cafetiere, Citrus & Floral, Citrus Fruit, Distinction, Filter, Floral, Fruity, Light, Rare, Roast 1, Single Origin, South America, sticker-New Release, sticker-Rare, swatch_colombia, Taste Pink-Grapefruit Maple Yellow-Plum, washed"
8669390438568,Christmas Blend Nº 22,christmas-blend-no-22,"Our Christmas blend is one of our favourite coffees to craft each year. We combine coffees we know and love that deliver super sweet, fruity and chocolatey flavour notes. This year we are proud to work with the smallholders of Zapoteco once more, alongside a Ethiopian smallholder group and finally a honey processed coffee from Costa Rica.The Ethiopian component was purchased with an attached premium for theVillage Pure Water Projectwho are building clean water wells in the Bench Sheko community. Since 2021 they have provided 950 families with clean water access.",2024-10-16T06:30:05+01:00,2024-10-14T14:46:42+01:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Blend,"Africa, cafetiere, Central America, christmas gift collection, coffee bean blend, Costa Rica, Dark, Espresso, Ethiopia, Filter, Mexico, Roast 5, South America, Taste Fruitcake Hazelnut Molasses"
8641381597352,Honduras Finca El Chollo Green Coffee Beans,honduras-finca-el-chollo-green-coffee-beans,"This natural processed Honduran coffee is super sweet with a balanced fruit flavour and floral aromatics. This is not typical of the region, better known for mild nutty coffees, and is therefore testament to the impact of the speciality sector and changing tastes towards natural processing. We are delighted to offer this coffee as a brilliant gateway coffee into this type of processing. Its challenging, but also really rewarding to brew.Please note:Never attempt to grind, green un-roasted beans.",2024-10-03T08:02:38+01:00,2024-09-23T12:12:12+01:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Green Coffee,"Central America, Green Coffee, info delivery, info dispatch, info packaging, info roast, natural, swatch_honduras, Taste Baked-Plum Pomegranate Honeycombe"
8650629054632,Suede Trucker Cap,suede-trucker-cap,"(Navy) Suede trucker caps with a retro style snapback size adjuster. One size. (Navy blue, embroidered with yellow Light Roast logo) Suede finish front panel.Washing Instructions: Sponge clean onlyFabric: 100% Polyester suede front panel and peak. 100% Polyester mesh rear panels.(Black) Suede trucker caps with a retro style snapback size adjuster. One size. (Black, embroidered with bright pink Dark Roast logo). Suede finish front panel.Washing Instructions: Sponge clean onlyFabric: 100% Polyester suede front panel and peak. 100% Polyester mesh rear panels.",2024-10-02T07:53:38+01:00,2024-09-30T12:27:43+01:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Merchandise,"gift, info delivery, info dispatch, info packaging, Merchandise, new arrivals"
8650683285672,El Salvador Santa Petrona Nº 260,el-salvador-santa-petrona-n-260,"The Santa Petrona coffee is processed using the black honey method.This involves drying the coffee with some of the cherry fruit pulp still intact, increasing the sweetness of the taste profile.The process also uses less water and mechanical interventions at farm level.",2024-10-01T12:53:38+01:00,2024-09-30T13:19:10+01:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Single Origin,"cafetiere, Central America, Chocolate & Caramel, Espresso, Filter, Fruity, honey, info delivery, info dispatch, info packaging, info roast, Medium, new arrivals, Roast 3, Single Origin, swatch_el-salvador, Taste Black-Cherry Cocoa Dates"
8641233191080,Ethiopia Bookkisa Nº 252,ethiopia-bookkisa-n-252,"This Ethiopian coffee is typical both of the its region, and of a more traditional approach to the ‘natural’ process. The coffee cherries are left intact during the drying phase, imparting lots of fruit flavour, but the finish is also crisp, clean and vibrant.",2024-09-26T06:30:00+01:00,2024-09-23T09:31:42+01:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Single Origin,"Africa, cafetiere, Citrus & Floral, Filter, Floral, Fruity, info delivery, info dispatch, info packaging, info roast, natural, Roast 2, Single Origin, Stone Fruit, swatch_ethiopia, Taste Peach Strawberry Jasmine"
8617675620520,Rave Alligator Pin Badge,rave-alligator-pin-badge,"Our Rave Alligator Pin Badge is a great addition to any jacket, bag or outfit!Size: 40mm x 0.9mmMaterial: Soft enamel with a black dye metal finish, giving it a sleek, modern look.Finish: Epoxy coating, which adds durability and a glossy finish.Fixings: 2 butterfly clasps, ensuring it stays securely in place.Like what you see? Check out thefull range of RAVE Coffee merchandiseto deck yourself out in gear from head to toe! You can also sign up for one of ourcoffee subscriptionsto get freshly roasted beans delivered straight to your door fromRAVE Coffee. However you choose to show off your passion for great coffee, we've got you covered!",2024-09-17T11:04:45+01:00,2024-09-05T09:33:30+01:00,2024-12-11T13:51:02+00:00,RAVE Coffee,Merchandise,
8615823081640,Cocoatiser with Hot Chocolate,cocoatiser-with-hot-chocolate,"Enjoy café quality hot chocolate at home, every day. With the Cocoatiser, you can make velvety smooth hot chocolate, to rival even the finest coffee shops! Try it with the Rave chocolate flakes for a tasty hot chocolate at home.Pick from a choice of Milk | White | Dark chocolate flakes.Colours: Chrome | CopperIdeal for Hot Chocolates or Heating MilkDishwasher Safe PartsIdeal for MilkshakesEnergy Efficient",2024-09-06T10:16:34+01:00,2024-09-04T10:49:16+01:00,2024-12-11T13:51:02+00:00,RAVE Coffee,Hot Chocolate,"Chocolate, gift, info delivery, info dispatch, info packaging, info roast"
8615877705896,Cocoatiser,cocoatiser-with-hot-chocolate-copy,"Enjoy café quality hot chocolate at home, every day. With the Cocoatiser, you can make velvety smooth hot chocolate, to rival even the finest coffee shops! Try it with the Rave chocolate flakes for a tasty hot chocolate at home.Colours: Chrome | CopperIdeal for Hot Chocolates or Heating MilkDishwasher Safe PartsIdeal for MilkshakesEnergy Efficient",2024-09-06T10:09:55+01:00,2024-09-04T11:24:45+01:00,2024-12-11T13:51:02+00:00,RAVE Coffee,Hot Chocolate,"Chocolate, gift, info delivery, info dispatch, info packaging, info roast"
8604880175272,Honduras Finca La Valentina Nº 254,honduras-finca-la-valentina-n-245,"A Honduran coffee that brings together both traditional and modern flavour profiles- milk chocolate sweetness, fruity raspberry jam and vanilla florals.The honey processing is delicate and well controlled, and a great introduction coffee if you want to try out the flavours of alternative processing methods.",2024-09-02T08:59:42+01:00,2024-08-27T12:02:58+01:00,2024-12-11T13:51:02+00:00,RAVE COFFEE,Single Origin,"cafetiere, Caramel, Central America, Chocolate, Chocolate & Caramel, Filter, Fruity, honey, info delivery, info dispatch, info packaging, info roast, Medium, Roast 3, Single Origin, swatch_honduras, Taste Raspberry Vanilla Milk-Chocolate"
14819064512895,Limu Coffee,limu-coffee,"A delightful washed coffee from the central Ethiopian region of Limu, revealing wine-like flavours, floral and fruity notes, undertones of chocolate and caramel, and a hint of spice. Grown at high altitude, in fertile soil to help develop a complex flavour, Limu coffee is medium bodied with good acidity.Ethiopia has six main growing regions - Jima, Sidama, Harrar, Yirgacheffe, Limu and Ghimbi/Lekempti. Mostly located in the country’s mountainous south, coffee trees are grown at high altitude, receiving rich nutrients from volcanic soil and optimum shading from surrounding vegetation. These growing conditions produce beans with complex and unique flavours, with tasting notes can be as diverse as citrus to tropical fruit, floral to chocolate.",2024-11-15T08:17:31+00:00,2024-11-15T08:10:31+00:00,2024-12-11T13:51:04+00:00,Coffee-Direct.co.uk,Coffee,"100% Arabica, Aeropress, Africa, Bean-to-Cup, Bright, Cafetiere, Caffeinated, Caramel, Chocolatey, Earthy, Espresso, Filter, Fruity, Medium Roast, Percolator, Turkish, Vacuum or Siphon"
14812238774655,Gaggia Cadorna Prestige Grey On Ice Bean-to-Cup Coffee Machine,gaggia-cadorna-prestige-grey-on-ice-bean-to-cup-coffee-machine,"The innovative Over Ice coffee introduces a new way to taste the drink we all love. With a simple touch, the Gaggia Cadorna Prestige will make a coffee that is ideal to taste over ice cubes. The special extraction process preserves the quality of coffee even at a lower temperature - aromas are preserved, brewing is a bit slower, and the result is a drink that can be tasted just as it is, or enriched with milk, plant-based drinks, and sweeteners of any kind.For the new Over Ice coffee, users can adjust the aroma level, choosing the quantity of ground coffee per cup, and selecting the coffee boost to have an even more intense flavour. Also, it is possible to brew two coffees at a time (with a first grinding and brewing, followed by a second one), and to select the ground coffee option.The Gaggia Cadorna Prestige brings 80 years of experience and tradition to its built-in espresso tray, designed to ensure a perfect espresso every time, with an impeccable crema layer and no splashes. The integrated milk carafe froths milk twice and removes all bubbles, while ensuring the milk hits the right temperature, and the removable brew group doses and tamps the right amount of ground coffee for all your espressos.All of our bean-to-cup machines and espresso makers are brand new and delivered boxed. All of our Gaggia models are fitted with UK power adaptors. Orders are despatched within 2 to 3 working days.All of our Gaggia machines are stocked in the UK and come with a 2-year UK warranty included in the price, as well as dedicated technical support direct from Gaggia, should you ever require it.You may see certain Gaggia models selling for a lower price than shown at Coffee-Direct, but it is important to note that these products are often imported from outside of the UK and are sold with no UK warranty.2 Year WarrantyTank Size: 1.5lFrother: CarafeOther Features: Four profiles to save drinksCoffee Types: 14 Drink OptionsMilk Types: Auto-frothingBrew Unit: RemovableBody: Silver with Chrome DispenserDimensions: L26 x H38 x D44 cmPower: 1900WBean Hopper Capacity: 300gPre-Ground: YesCup Height: 70-155mm",2024-11-08T11:56:52+00:00,2024-11-08T11:54:39+00:00,2024-12-11T13:51:04+00:00,Gaggia,Bean-to-Cup Coffee Machines,"Hidden recommendation, Recommendations disabled"
14812226322815,Gaggia Magenta Prestige Grey On Ice Bean-to-Cup Coffee Machine,gaggia-magenta-prestige-grey-on-ice-bean-to-cup-coffee-machine,"The innovative Over Ice coffee introduces a new way to taste the drink we all love. With a simple touch, the Gaggia Magenta Prestige will make a coffee that is ideal to taste over ice cubes. The special extraction process preserves the quality of coffee even at a lower temperature - aromas are preserved, brewing is a bit slower, and the result is a drink that can be tasted just as it is, or enriched with milk, plant-based drinks, and sweeteners of any kind.For the new Over Ice coffee, users can adjust the aroma level, choosing the quantity of ground coffee per cup, and selecting the coffee boost to have an even more intense flavour. Also, it is possible to brew two coffees at a time (with a first grinding and brewing, followed by a second one), and to select the ground coffee option.The Gaggia Magenta Prestige comes with an integrated milk carafe, which froths milk twice and removes all bubbles, while ensuring the milk hits the right temperature. The removable brew group doses and tamps the right amount of ground coffee for all your espressos, while a wide user interface with full colour display ensures more control and visibility when preparing your favourite beverages.All of our bean-to-cup machines and espresso makers are brand new and delivered boxed. All of our Gaggia models are fitted with UK power adaptors. Orders are despatched within 2 to 3 working days.All of our Gaggia machines are stocked in the UK and come with a 2-year UK warranty included in the price, as well as dedicated technical support direct from Gaggia, should you ever require it.You may see certain Gaggia models selling for a lower price than shown at Coffee-Direct, but it is important to note that these products are often imported from outside of the UK and are sold with no UK warranty.2 Year WarrantyTank Size: 1.8lFrother:CarafeCoffee Types: 12 Drink OptionsMilk Types: Auto-frothingBrew Unit: RemovableBody: Matt Black with Chrome SpoutDimensions: L22.4 x H35.7 x D43.5 cmPower: 1900WBean Hopper Capacity: 250gPre-Ground: YesCup Height: 70-155mm",2024-11-08T11:53:19+00:00,2024-11-08T11:50:32+00:00,2024-12-11T13:51:04+00:00,Gaggia,Bean-to-Cup Coffee Machines,"Hidden recommendation, Recommendations disabled"
8846190477477,Cafe Pocco Barista Coffee Syrup Set,cafe-pocco-barista-coffee-syrup-set,"Our Barista Coffee Syrup Set includes a 25cl bottle of Carmel Syrup and a 25cl bottle of Vanilla Syrup, making it the perfect gift for coffee lovers.Made in Italy from quality ingredients, Cafe Pocco Italian Coffee Syrups are ideal for making coffee shop quality lattes or for adding a delicious extra flavour to your ice-cold frappes.IngredientsVanilla Syrup: sugar, water, natural Bourbon vanilla flavour, vanilla extract, vanillin.Caramel Syrup: sugar, water, flavourings, caramel",2024-10-07T09:07:35+01:00,2024-10-07T09:07:35+01:00,2024-12-11T13:51:04+00:00,Cafe Pocco,Additives,
